,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales Order Tracking,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From,,,,,,,To,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-05-2015,,,,,,,31-05-2015
,,Customer Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RISHABH  INDUSTRIES,,,,,Order No.,SO000308,,,,,,,,Mode,,,APPROVED,,,,,,External Document No.,,,,,null,,,,,,,Warehouse,,,,FINISHED GOODS - SEC,,,,,,,,,,,,
,,Customer Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"54. 
MAPUSA INDUSTRIAL ESTATE
City - MAPUSA 
District - MAPUSA 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Order Date,,01-05-2015,,,,,,,Status,,CLOSE,,,,,,,External Document Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No.,,,,Item Description,,,Unit,Qty,Price,Order Value,,,,Pick,,,,Pack,,,,,,,,Shipment,,,,,,Intimation,,,,,Invoice,,,,,,,,,,RMA,,,,,,,,,,
,,,,,,,,,,,,,,Pick No.,,Qty,Date,Pack No.,,,Qty,,,Date,,Ship No.,,Qty,,Date,,Intm No.,,,Qty,Date,Invoice No.,,,Qty,,,Date,,,,RMA No.,,,,Qty,,,Date,,,
,1,,.,,CU35SSMEDPT-10,,KG,683.94,505.15,"345,492.29",,,,,PI000624,683.94,01-05-2015,,PA000610,,683.94,,,,01-05-2015,,SH000627,683.94,,,01-05-2015,,,,,,,SI000620,,683.94,,,,01-05-2015,,,,,,,,,,,,,
,,Customer Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,G K WINDING WIRES LTD. - DELHI,,,,,Order No.,SO000309,,,,,,,,Mode,,,APPROVED,,,,,,External Document No.,,,,,null,,,,,,,Warehouse,,,,FINISHED GOODS - SEC,,,,,,,,,,,,
,,Customer Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"23 Radhey Puri Near MCD School
Krishna Nagar
City - DELHI 
District - DELHI 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Order Date,,01-05-2015,,,,,,,Status,,CLOSE,,,,,,,External Document Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No.,,,,Item Description,,,Unit,Qty,Price,Order Value,,,,Pick,,,,Pack,,,,,,,,Shipment,,,,,,Intimation,,,,,Invoice,,,,,,,,,,RMA,,,,,,,,,,
,,,,,,,,,,,,,,Pick No.,,Qty,Date,Pack No.,,,Qty,,,Date,,Ship No.,,Qty,,Date,,Intm No.,,,Qty,Date,Invoice No.,,,Qty,,,Date,,,,RMA No.,,,,Qty,,,Date,,,
,1,,.,,CU0.07SSFINEPT-4,,KG,212.735,616.07,"131,059.65",,,,,PI000625,212.735,01-05-2015,,PA000611,,212.735,,,,01-05-2015,,SH000628,212.735,,,01-05-2015,,,,,,,SI000621,,212.735,,,,01-05-2015,,,,,,,,,,,,,
