,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase Invoice Summary,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-09-2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Period :,,,To,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-2015,
,,Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*All Amounts are in INR.,,,,,,
,,Invoice No,,Invoice Date,,Invoice Type,,Supplier Name,,Tin No,,Unit,,Quantity,,Gross Amount,,Discount,,Cst Purchase @1%,,Cst Purchase @2%,,Ec On Purchase @2%,,Excise On Purchase -6.00%,,Excise On Purchase 12.50%,,Excise On Purchase @12%,Excise On Purchase @14%,Hec On Purchase @1%,Input Vat - 12.50% Up,Input Vat - 21% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional - 2.00% ,Input Vat Additional. - 1% Up,,Net Amount,,,,,,,,,
,,PB0001039,,03-09-2015,,Supplementary Invoice,,Hindalco,,,,KG,,5923.00,,19836.13,,0.00,,0.00,,0.00,,0.00,,0.00,,2480.00,,0.00,0.00,0.00,0.00,0.00,893.00,0.00,0.00,223.00,0.00,23432.13,,,,,,,,,
,,PB0001040,,03-09-2015,,Supplementary Invoice,,Hindalco,,,,KG,,3003.00,,43801.76,,0.00,,0.00,,0.00,,0.00,,0.00,,5475.00,,0.00,0.00,0.00,0.00,0.00,1971.00,0.00,0.00,493.00,0.00,51740.76,,,,,,,,,
,,PB0001041,,05-09-2015,,Purchase Invoice,,S.S.Packaging,,,,KG,,129.50,,18777.50,,0.00,,0.00,,0.00,,0.00,,0.00,,2347.00,,0.00,0.00,0.00,0.00,0.00,845.00,0.00,0.00,211.00,0.00,22180.50,,,,,,,,,
