,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,
,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,
,,,,,,,,,,,,,,,,,,,,01-06-2015,,30-06-2015
,,,,,,,,,,,,,,,,,From,,,,To,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,Discount,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,Net Amount,,,,,,,
,,SI001327,02-06-2015,CU0.55DCFINEPT-45,INR,,172.415,KG,6134.526,0.000,767.000,,,,6901.526,,,,,,,
,,,,CU0.55MCFINEPT-45,INR,,1445.920,KG,51445.834,0.000,6431.000,,,,57876.834,,,,,,,
,,SI001329,02-06-2015,CU0.87DCFINEPT-180,INR,,564.740,KG,18054.738,0.000,2257.000,,,,20311.738,,,,,,,
,,,,,,,598.760,KG,24363.544,0.000,3045.000,,,,27408.544,,,,,,,
,,,,CU0.95DCMEDPT-180,INR,,1144.660,KG,36594.780,0.000,4574.000,,,,41168.780,,,,,,,
,,,,CU2DCMEDPT-90,INR,,734.660,KG,23487.080,0.000,2936.000,,,,26423.080,,,,,,,
,,SI001371,04-06-2015,CU30MPFINEPT-10,INR,,514.125,KG,7876.395,0.000,985.000,,,,8861.395,,,,,,,
,,,,CU30MPMEDPT-10,INR,,265.870,KG,2658.700,0.000,332.000,,,,2990.700,,,,,,,
,,,,,,,430.420,KG,4304.200,0.000,538.000,,,,4842.200,,,,,,,
,,,,CU33MPMEDPT-10,INR,,52.490,KG,524.900,0.000,66.000,,,,590.900,,,,,,,
,,,,CU34MPMEDPT-10,INR,,145.640,KG,1456.400,0.000,182.000,,,,1638.400,,,,,,,
,,,,CU34SSMEDPT-10,INR,,252.660,KG,1351.731,0.000,169.000,,,,1520.731,,,,,,,
,,SI001372,04-06-2015,CU0.55DCFINEPT-45,INR,,946.645,KG,33681.629,0.000,4210.000,,,,37891.629,,,,,,,
,,,,CU0.6DCFINEPT-45,INR,,973.800,KG,34647.804,0.000,4331.000,,,,38978.804,,,,,,,
,,SI001382,04-06-2015,CU0.23SSMEDPT-10,INR,,126.025,KG,378.075,0.000,47.000,,,,425.075,,,,,,,
,,SI001397,05-06-2015,CU0.55DCFINEPT-45,INR,,485.295,KG,17266.796,0.000,2158.000,,,,19424.796,,,,,,,
,,,,CU0.55MCFINEPT-45,INR,,1068.835,KG,38029.149,0.000,4754.000,,,,42783.149,,,,,,,
,,,,CU0.57MCFINEPT-45,INR,,368.010,KG,13093.796,0.000,1637.000,,,,14730.796,,,,,,,
,,,,CU0.6DCFINEPT-45,INR,,465.725,KG,16570.496,0.000,2071.000,,,,18641.496,,,,,,,
,,SI001398,05-06-2015,CU2.24MCMEDPT-90,INR,,746.485,KG,19692.274,0.000,2462.000,,,,22154.274,,,,,,,
,,,,CU2DCMEDPT-90,INR,,1836.000,KG,48433.680,0.000,6054.000,,,,54487.680,,,,,,,
,,SI001431,06-06-2015,CU0.56DCSBMEDPT-25,INR,,480.380,KG,16861.338,0.000,2108.000,,,,18969.338,,,,,,,
,,SI001444,06-06-2015,CU39SSMEDPT-10,INR,,133.950,KG,2040.058,0.000,255.000,,,,2295.058,,,,,,,
,,,,"cu20mpmedpt-10""",INR,,71.445,KG,445.102,0.000,56.000,,,,501.102,,,,,,,
,,SI001449,06-06-2015,CU30MPMEDPT-10,INR,,781.230,KG,7812.300,0.000,977.000,,,,8789.300,,,,,,,
,,SI001469,08-06-2015,CU0.87DCFINEPT-180,INR,,631.200,KG,16651.056,0.000,2081.000,,,,18732.056,,,,,,,
,,,,,,,1295.880,KG,34185.314,0.000,4273.000,,,,38458.314,,,,,,,
,,SI001471,08-06-2015,CU0.53DCFINEPT-25,INR,,2612.215,KG,92942.610,0.000,11618.000,,,,104560.610,,,,,,,
,,SI001511,10-06-2015,CU0.363hssfINEPT-25,INR,,593.420,KG,5518.806,0.000,690.000,,,,6208.806,,,,,,,
,,SI001514,10-06-2015,CU0.112SSFINEPT-4,INR,,216.250,KG,4013.600,0.000,502.000,,,,4515.600,,,,,,,
,,SI001515,10-06-2015,CU0.5DCMEDPT-45,INR,,736.235,KG,1472.470,0.000,184.000,66.000,17.000,,1739.470,,,,,,,
,,,,CU1.2DCMEDPT-45,INR,,462.270,KG,924.540,0.000,116.000,42.000,10.000,,1092.540,,,,,,,
,,,,CU1DCMEDPT-45,INR,,465.070,KG,930.140,0.000,116.000,42.000,10.000,,1098.140,,,,,,,
,,SI001527,11-06-2015,CU0.95DCMEDPT-180,INR,,615.500,KG,16236.890,0.000,2030.000,,,,18266.890,,,,,,,
,,SI001556,12-06-2015,CU0.112SSFINEPT-4,INR,,195.805,KG,3634.141,0.000,454.000,,,,4088.141,,,,,,,
,,,,CU0.72MPMEDPT-90,INR,,365.640,KG,8885.052,0.000,1111.000,,,,9996.052,,,,,,,
,,SI001565,12-06-2015,CU25MPMEDPT-25,INR,,53.495,KG,53.495,0.000,7.000,,,,60.495,,,,,,,
,,SI001578,13-06-2015,AL29MPMEDPT-25,INR,,210.400,KG,7584.920,0.000,948.000,,,,8532.920,,,,,,,
,,SI001587,15-06-2015,CU0.72MPMEDPT-45,INR,,996.335,KG,288.937,0.000,36.000,,,,324.937,,,,,,,
,,SI001597,15-06-2015,CU33MPMEDPT-10,INR,,151.525,KG,1254.627,0.000,157.000,,,,1411.627,,,,,,,
,,,,CU36MPMEDPT-10,INR,,135.605,KG,848.887,0.000,106.000,,,,954.887,,,,,,,
,,SI001614,16-06-2015,CU34SSMEDPT-10,INR,,97.345,KG,518.849,0.000,65.000,,,,583.849,,,,,,,
,,SI001615,16-06-2015,AL0.75MPMEDPT-90,INR,,157.675,KG,162.405,0.000,20.000,,,,182.405,,,,,,,
,,,,AL22DCMEDPT-90,INR,,1139.535,KG,1173.721,0.000,147.000,,,,1320.721,,,,,,,
,,SI001623,16-06-2015,CU0.53DCFINEPT-25,INR,,2489.120,KG,69147.754,0.000,8643.000,,,,77790.754,,,,,,,
,,,,CU0.55MCFINEPT-45,INR,,1484.000,KG,474.880,0.000,59.000,,,,533.880,,,,,,,
,,SI001625,16-06-2015,CU0.87DCFINEPT-180,INR,,1965.100,KG,52821.888,0.000,6603.000,,,,59424.888,,,,,,,
,,SI001651,17-06-2015,CU0.35MCFINEPT-90,INR,,165.270,KG,170.228,0.000,21.000,,,,191.228,,,,,,,
,,,,CU0.55DCFINEPT-90,INR,,733.475,KG,755.479,0.000,94.000,,,,849.479,,,,,,,
,,,,CU0.58DCMEDPT-90,INR,,752.010,KG,774.570,0.000,97.000,,,,871.570,,,,,,,
,,,,CU0.5DCFINEPT-90,INR,,165.770,KG,170.743,0.000,21.000,,,,191.743,,,,,,,
,,,,CU0.6DCFINEPT-90,INR,,406.545,KG,418.741,0.000,52.000,,,,470.741,,,,,,,
,,,,CU0.95DCMEDPT-90,INR,,201.310,KG,207.349,0.000,26.000,,,,233.349,,,,,,,
,,,,CU1DCMEDPT-90,INR,,499.480,KG,514.464,0.000,64.000,,,,578.464,,,,,,,
,,SI001653,17-06-2015,CU24MPMEDPT-25,INR,,105.430,KG,316.290,0.000,40.000,,,,356.290,,,,,,,
,,SI001688,18-06-2015,CU0.55MCFINEPT-45,INR,,2214.965,KG,708.789,0.000,89.000,,,,797.789,,,,,,,
,,,,CU0.7MPMEDPT-90,INR,,458.155,KG,471.900,0.000,59.000,,,,530.900,,,,,,,
,,SI001689,18-06-2015,AL22DCMEDPT-90,INR,,1137.430,KG,1171.553,0.000,146.000,,,,1317.553,,,,,,,
,,SI001709,19-06-2015,CU35SSMEDPT-10,INR,,412.535,KG,8085.686,0.000,1011.000,,,,9096.686,,,,,,,
,,SI001710,19-06-2015,CU0.55DCFINEPT-45,INR,,946.815,KG,302.981,0.000,38.000,,,,340.981,,,,,,,
,,,,CU0.65MCFINEPT-45,INR,,369.350,KG,118.192,0.000,15.000,,,,133.192,,,,,,,
,,SI001731,20-06-2015,AL22DCMEDPT-90,INR,,1096.270,KG,1129.158,0.000,141.000,,,,1270.158,,,,,,,
,,SI001732,20-06-2015,CU0.87DCFINEPT-180,INR,,641.400,KG,17240.832,0.000,2155.000,,,,19395.832,,,,,,,
,,,,CU0.95DCMEDPT-180,INR,,1316.520,KG,35388.058,0.000,4424.000,,,,39812.058,,,,,,,
,,SI001753,20-06-2015,CU0.55MCFINEPT-45,INR,,746.370,KG,238.838,0.000,30.000,,,,268.838,,,,,,,
,,,,CU0.7MPMEDPT-90,INR,,690.500,KG,711.215,0.000,89.000,,,,800.215,,,,,,,
