,0.00,"26,540.07","4,810.00","31,350.07","31,350.07",
,0.00,"24,832.80","4,500.00","29,332.80","29,332.80",
,0.00,511.77,93.00,604.77,604.77,
,0.00,"3,385.55",613.00,"3,998.55","3,998.55",
,0.00,"3,752.82",680.00,"4,432.82","4,432.82",
,0.00,"3,914.22",709.00,"4,623.22","4,623.22",
,0.00,"4,352.23",789.00,"5,141.23","5,141.23",
,0.00,"478,253.97","86,684.00","564,937.97","564,937.97",
,0.00,"478,253.97","86,684.00","564,937.97","564,937.97",
,0.00,"236,097.04","42,792.00","278,889.04","278,889.04",
,0.00,"2,451.40",361.00,"2,812.40","2,812.40",
,0.00,"23,696.00",0.00,"23,696.00","23,696.00",
,0.00,"82,999.00",0.00,"82,999.00","82,999.00",
,0.00,"20,776.00",0.00,"20,776.00","20,776.00",
,0.00,"20,566.00",0.00,"20,566.00","20,566.00",
,0.00,"41,300.00",0.00,"41,300.00","41,300.00",
,0.00,"20,804.00",0.00,"20,804.00","20,804.00",
,0.00,"92,007.19","16,676.00","108,683.19","108,683.19",
,0.00,"228,439.73","41,403.00","269,842.73","269,842.73",
,0.00,"70,459.07","12,771.00","83,230.07","83,230.07",
,0.00,"113,984.34","20,660.00","134,644.34","134,644.34",
,0.00,"236,856.91","42,929.00","279,785.91","279,785.91",
,0.00,"22,983.50","4,166.00","27,149.50","27,149.50",
,0.00,"80,928.46","13,940.00","94,868.46","94,868.46",
,0.00,"60,491.81","10,419.00","70,910.81","70,910.81",
,0.00,"132,952.38","22,901.00","155,853.38","155,853.38",
,0.00,"328,642.92","56,609.00","385,251.92","385,251.92",
,0.00,"80,928.46","13,940.00","94,868.46","94,868.46",
,0.00,"119,169.19","20,527.00","139,696.19","139,696.19",
,0.00,"83,442.57","14,373.00","97,815.57","97,815.57",
,0.00,"560,260.00","82,639.00","642,899.00","642,899.00",
,0.00,"122,665.49","18,093.00","140,758.49","140,758.49",
,0.00,"284,700.00","41,994.00","326,694.00","326,694.00",
,0.00,"147,205.00","21,713.00","168,918.00","168,918.00",
,0.00,"263,385.22","45,368.00","308,753.22","308,753.22",
,0.00,"194,714.97","33,539.00","228,253.97","228,253.97",
,0.00,"270,482.56","46,591.00","317,073.56","317,073.56",
,0.00,"358,508.95","61,754.00","420,262.95","420,262.95",
,0.00,"267,031.65","48,399.00","315,430.65","315,430.65",
,0.00,"148,947.79","25,656.00","174,603.79","174,603.79",
,0.00,"89,948.11","15,494.00","105,442.11","105,442.11",
,0.00,"282,416.93","48,646.00","331,062.93","331,062.93",
,0.00,"221,906.10","38,223.00","260,129.10","260,129.10",
,0.00,"282,467.48","48,654.00","331,121.48","331,121.48",
,0.00,"149,250.20","25,708.00","174,958.20","174,958.20",
,0.00,"282,416.93","48,646.00","331,062.93","331,062.93",
,0.00,"216,372.83","37,271.00","253,643.83","253,643.83",
,0.00,"148,947.79","25,656.00","174,603.79","174,603.79",
,0.00,"282,467.48","48,654.00","331,121.48","331,121.48",
,0.00,"160,260.00","23,639.00","183,899.00","183,899.00",
,0.00,"53,865.25","9,278.00","63,143.25","63,143.25",
