,,,,,,,,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales Order Tracking,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From,,,,,,,,To,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-06-2015,,,,,,,30-06-2015
,,Customer Name,,,,Denso India Ltd.,,,,,,,Order Date,,,01-06-2015,,,Mode,,,APPROVED,,,,,Status,,,CLOSE,,,Warehouse,,,FINISHED GOODS - SEC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Order No.,,,SO000622,,,,,,,,,,,,,,,,,,,,,,,,,,,Ext Document No.,,,,,,,,,Ext Document Date,,,,,,,,,,,
S. No.,,,,Item Description,,,Unit,Qty,,Price,Order Value,,,Pick,,,,,,Pack,,,,,,,,Shipment,,,,,,,Intimation,,,,,Invoice,,,,,,,,,RMA,,,,,,,,,,
,,,,,,,,,,,,,,Pick No.,,,Qty,Date,,Pack No.,,,Qty,Date,,,,Ship No.,,,Qty,Date,,,Intm No.,,Qty,Date,,Invoice No.,,Qty,,,Date,,,,RMA No.,,,,Qty,,,Date,,,
,1,,.,,CU0.6MPFINEPT-90,,KG,1260,,489.12,"616,291.20",,,,PI001279,,80,01-06-2015,,,PA001261,,80,,01-06-2015,,,,SH001290,,80,,,01-06-2015,,,,,,,SI001296,80,,,,01-06-2015,,,,,,,,,,,,,
,2,,.,,CU0.7MPMEDPT-90,,KG,4230,,489.12,"2,068,977.60",,,,PI001280,,232,01-06-2015,,,PA001262,,232,,01-06-2015,,,,SH001291,,232,,,01-06-2015,,,,,,,SI001297,232,,,,01-06-2015,,,,,,,,,,,,,
,3,,.,,CU0.85DCMEDPT-90,,KG,3060,,500.12,"1,530,367.20",,,,PI001281,,368,01-06-2015,,,PA001263,,368,,01-06-2015,,,,SH001292,,368,,,01-06-2015,,,,,,,SI001298,368,,,,01-06-2015,,,,,,,,,,,,,
,4,,.,,CU0.9MPFINEPT-90,,KG,2430,,489.12,"1,188,561.60",,,,PI001283,,402,01-06-2015,,,PA001265,,402,,01-06-2015,,,,SH001293,,402,,,01-06-2015,,,,,,,SI001299,402,,,,01-06-2015,,,,,,,,,,,,,
,5,,.,,CU0.9DCMEDPT-90,,KG,10000,,499.12,"4,991,200.00",,,,PI001284,,550,01-06-2015,,,PA001266,,550,,01-06-2015,,,,SH001295,,550,,,01-06-2015,,,,,,,SI001300,550,,,,01-06-2015,,,,,,,,,,,,,
,6,,.,,CU1DCMEDPT-90,,KG,2070,,499.12,"1,033,178.40",,,,PI001285,,479,01-06-2015,,,PA001267,,479,,01-06-2015,,,,SH001296,,479,,,01-06-2015,,,,,,,SI001301,479,,,,01-06-2015,,,,,,,,,,,,,
,7,,.,,CU1.05DCMEDPT-90,,KG,1530,,499.12,"763,653.60",,,,PI001286,,331,01-06-2015,,,PA001268,,331,,01-06-2015,,,,SH001297,,331,,,01-06-2015,,,,,,,SI001302,331,,,,01-06-2015,,,,,,,,,,,,,
,8,,.,,CU1.05MCMEDPT-90,,KG,180,,520.12,"93,621.60",,,,PI001288,,84,01-06-2015,,,PA001269,,84,,01-06-2015,,,,SH001298,,84,,,01-06-2015,,,,,,,SI001303,84,,,,01-06-2015,,,,,,,,,,,,,
