,,,,,,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Invoice Register Summary,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-04-2015,,30-04-2015
,,,,,,,,,,,,,,,,,,,,,,,,,From,,,,To,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Currency,Customer,,Qty,Unit,,Gross,,Discount,,Other Charges,CENTRAL SALES TAX PAYABLE - 2% EOU,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,EXCISE ON SALES - 14.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount,,,,,,,
,,SI000001,01-04-2015,INR,L G Electronics India (P) ,,82.020,KG,,38902.086,,0.000,,,0.000,0.000,0.000,4863.000,0.000,1751.000,438.000,0.000,45954.086,,,,,,,
,,SI000002,01-04-2015,INR,G K WINDING WIRES ,,3010.095,KG,,1446925.534,,0.000,,,0.000,0.000,0.000,180865.000,0.000,0.000,0.000,0.000,1627790.534,,,,,,,
,,SI000003,01-04-2015,INR,G K WINDING WIRES ,,220.715,KG,,59913.087,,0.000,,,0.000,0.000,0.000,7489.000,0.000,0.000,0.000,0.000,67402.087,,,,,,,
,,SI000004,01-04-2015,INR,India Nippon Electrical Ltd ( ,,3037.760,KG,,1476995.323,,2709986.000,,3038.000,0.000,0.000,0.000,184624.000,0.000,0.000,0.000,0.000,309664.323,,,,,,,
,,SI000005,02-04-2015,INR,Denso India Ltd.,,301.985,KG,,137077.031,,0.000,,,0.000,0.000,0.000,17135.000,0.000,6168.000,1542.000,0.000,161922.031,,,,,,,
,,SI000006,02-04-2015,INR,Denso India Ltd.,,385.270,KG,,174881.758,,0.000,,,0.000,0.000,0.000,21860.000,0.000,7870.000,1967.000,0.000,206578.758,,,,,,,
,,SI000007,02-04-2015,INR,Denso India Ltd.,,146.620,KG,,68166.570,,0.000,,,0.000,0.000,0.000,8521.000,0.000,3068.000,767.000,0.000,80522.570,,,,,,,
,,SI000008,02-04-2015,INR,Denso India Ltd.,,311.645,KG,,141461.898,,0.000,,,0.000,0.000,0.000,17683.000,0.000,6366.000,1591.000,0.000,167101.898,,,,,,,
,,SI000009,02-04-2015,INR,Denso India Ltd.,,334.200,KG,,155042.064,,0.000,,,0.000,0.000,0.000,19380.000,0.000,6977.000,1744.000,0.000,183143.064,,,,,,,
,,SI000010,02-04-2015,INR,Denso India Ltd.,,498.865,KG,,231433.451,,0.000,,,0.000,0.000,0.000,28929.000,0.000,10414.000,2604.000,0.000,273380.451,,,,,,,
,,SI000011,02-04-2015,INR,Denso India Ltd.,,849.130,KG,,393928.390,,0.000,,,0.000,0.000,0.000,49241.000,0.000,17727.000,4432.000,0.000,465328.390,,,,,,,
,,SI000012,02-04-2015,INR,Denso India Ltd.,,351.960,KG,,163281.283,,0.000,,,0.000,0.000,0.000,20410.000,0.000,7348.000,1837.000,0.000,192876.283,,,,,,,
